"filename", "language", "Markdown", "C#", "XML", "comment", "blank", "total"
"/home/munglo/MyRepos/Juan/MisfitBot/Attributes.cs", "C#", 0, 50, 0, 15, 4, 69
"/home/munglo/MyRepos/Juan/MisfitBot/BotChannel.cs", "C#", 0, 54, 0, 4, 2, 60
"/home/munglo/MyRepos/Juan/MisfitBot/Common.cs", "C#", 0, 340, 0, 36, 39, 415
"/home/munglo/MyRepos/Juan/MisfitBot/Components/DatabaseStrings.cs", "C#", 0, 272, 0, 90, 11, 373
"/home/munglo/MyRepos/Juan/MisfitBot/Configuration.cs", "C#", 0, 159, 0, 62, 8, 229
"/home/munglo/MyRepos/Juan/MisfitBot/DiscordWrap/DiscordClient.cs", "C#", 0, 109, 0, 23, 8, 140
"/home/munglo/MyRepos/Juan/MisfitBot/Extensions/ChannelManager/ChannelManager.cs", "C#", 0, 590, 0, 72, 34, 696
"/home/munglo/MyRepos/Juan/MisfitBot/Extensions/CommandInterpreter/CommandDefinitions.cs", "C#", 0, 31, 0, 0, 2, 33
"/home/munglo/MyRepos/Juan/MisfitBot/Extensions/CommandInterpreter/CommandInterpreter.cs", "C#", 0, 196, 0, 32, 26, 254
"/home/munglo/MyRepos/Juan/MisfitBot/Extensions/CommandInterpreter/HelpMenuStruct.cs", "C#", 0, 18, 0, 0, 2, 20
"/home/munglo/MyRepos/Juan/MisfitBot/Extensions/CommandInterpreter/Pages.cs", "C#", 0, 289, 0, 80, 55, 424
"/home/munglo/MyRepos/Juan/MisfitBot/Extensions/Twitch/TwitchAPICalls.cs", "C#", 0, 57, 0, 7, 10, 74
"/home/munglo/MyRepos/Juan/MisfitBot/Extensions/Twitch/TwitchChannelUserStruct.cs", "C#", 0, 16, 0, 0, 2, 18
"/home/munglo/MyRepos/Juan/MisfitBot/Extensions/Twitch/TwitchChannelWatcher.cs", "C#", 0, 56, 0, 1, 2, 59
"/home/munglo/MyRepos/Juan/MisfitBot/Extensions/Twitch/TwitchUsers.cs", "C#", 0, 52, 0, 13, 4, 69
"/home/munglo/MyRepos/Juan/MisfitBot/Extensions/UserManager/BotUsers.cs", "C#", 0, 693, 0, 25, 16, 734
"/home/munglo/MyRepos/Juan/MisfitBot/Extensions/UserManager/UserEntry.cs", "C#", 0, 63, 0, 3, 5, 71
"/home/munglo/MyRepos/Juan/MisfitBot/Extensions/UserManager/UserManagerService.cs", "C#", 0, 137, 0, 89, 26, 252
"/home/munglo/MyRepos/Juan/MisfitBot/Logger.cs", "C#", 0, 60, 0, 13, 5, 78
"/home/munglo/MyRepos/Juan/MisfitBot/MisfitBot-MKII.csproj", "XML", 0, 0, 32, 0, 0, 32
